### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  484        6998      0.3561      0.6056       0.9616
  485        7161      0.3556      0.6048       0.9604
  486        7328      0.3552       0.604       0.9591
  487        7499      0.3547      0.6031       0.9578
  488        7674      0.3543      0.6022       0.9565
  489        7852      0.3538      0.6013       0.9552
  490        8035      0.3534      0.6004       0.9538
  491        8222       0.353      0.5995       0.9525
  492        8414      0.3525      0.5986       0.9511
  493        8610      0.3521      0.5976       0.9497
  494        8810      0.3517      0.5966       0.9482
  495        9016      0.3512      0.5956       0.9468
  496        9226      0.3508      0.5945       0.9453
  497        9441      0.3503      0.5934       0.9438
  498        9661      0.3499      0.5924       0.9423
  499        9886      0.3495      0.5912       0.9407
  500   1.012e+04      0.3491      0.5906       0.9397
  501   1.035e+04      0.3486      0.5905       0.9391
  502   1.059e+04      0.3482      0.5904       0.9386
  503   1.084e+04      0.3478      0.5902        0.938
  504   1.109e+04      0.3474      0.5901       0.9375
  505   1.135e+04       0.347        0.59        0.937
  506   1.161e+04      0.3465      0.5899       0.9364
  507   1.189e+04      0.3461      0.5897       0.9359
  508   1.216e+04      0.3457      0.5896       0.9353
  509   1.245e+04      0.3453      0.5894       0.9347
  510   1.274e+04      0.3449      0.5893       0.9342
  511   1.303e+04      0.3445      0.5892       0.9337
  512   1.334e+04      0.3441       0.589       0.9331
  513   1.365e+04      0.3437      0.5888       0.9325
  514   1.396e+04      0.3433      0.5887        0.932
  515   1.429e+04      0.3429      0.5885       0.9314
  516   1.462e+04      0.3425      0.5884       0.9309
  517   1.496e+04      0.3421      0.5882       0.9303
  518   1.531e+04      0.3417       0.588       0.9297
  519   1.567e+04      0.3413      0.5878       0.9292
  520   1.603e+04      0.3409      0.5877       0.9286
  521   1.641e+04      0.3406      0.5875        0.928
  522   1.679e+04      0.3402      0.5873       0.9275
  523   1.718e+04      0.3398      0.5871       0.9269
  524   1.758e+04      0.3395      0.5869       0.9263
  525   1.799e+04      0.3391      0.5867       0.9258
  526   1.841e+04      0.3387      0.5865       0.9252
  527   1.884e+04      0.3383      0.5863       0.9246
  528   1.928e+04       0.338       0.586        0.924
  529   1.972e+04      0.3376      0.5858       0.9235
  530   2.018e+04      0.3373      0.5856       0.9229
  531   2.065e+04      0.3369      0.5855       0.9225
  532   2.113e+04      0.3366      0.5854        0.922
  533   2.163e+04      0.3362      0.5853       0.9215
  534   2.213e+04      0.3359      0.5852       0.9211
  535   2.265e+04      0.3356      0.5851       0.9206
  536   2.317e+04      0.3352      0.5849       0.9202
  537   2.371e+04      0.3349      0.5848       0.9197
  538   2.427e+04      0.3346      0.5847       0.9192
  539   2.483e+04      0.3342      0.5845       0.9188
  540   2.541e+04      0.3339      0.5844       0.9183
  541     2.6e+04      0.3336      0.5843       0.9179
  542   2.661e+04      0.3333      0.5841       0.9174
  543   2.723e+04       0.333       0.584        0.917
  544   2.786e+04      0.3327      0.5838       0.9165
  545   2.851e+04      0.3324      0.5837       0.9161
  546   2.917e+04      0.3321      0.5835       0.9156
  547   2.985e+04      0.3318      0.5834       0.9151
  548   3.055e+04      0.3315      0.5832       0.9147
  549   3.126e+04      0.3312       0.583       0.9142
  550   3.199e+04      0.3309      0.5829       0.9138
  551   3.273e+04      0.3306      0.5827       0.9133
  552    3.35e+04      0.3304      0.5825       0.9129
  553   3.428e+04      0.3301      0.5823       0.9124
  554   3.508e+04      0.3298      0.5822        0.912
  555   3.589e+04      0.3295       0.582       0.9115
  556   3.673e+04      0.3293      0.5818        0.911
  557   3.758e+04       0.329      0.5816       0.9106
  558   3.846e+04      0.3288      0.5814       0.9101
  559   3.936e+04      0.3285      0.5812       0.9097
  560   4.027e+04      0.3283      0.5809       0.9092
  561   4.121e+04       0.328      0.5807       0.9087
  562   4.217e+04      0.3278      0.5805       0.9083
  563   4.315e+04      0.3276      0.5803       0.9078
  564   4.416e+04      0.3273        0.58       0.9074
  565   4.519e+04      0.3271      0.5798       0.9069
  566   4.624e+04      0.3269      0.5795       0.9064
  567   4.732e+04      0.3267      0.5793        0.906
